Complaint,Link,Date of Complaint
Metropolitan State University of Denver,https://equalprotect.org/case/equal-protection-project-v-metropolitan-state-university-of-denver/,"January 30, 2026"
"UC Office of the President, et al. – Puente Project",https://equalprotect.org/case/equal-protection-project-v-univ-of-california-office-of-the-president-et-al/,"January 18, 2026"
"University of Tennessee, Knoxville",https://equalprotect.org/case/equal-protection-project-v-university-of-tennessee-knoxville/,"January 6, 2026"
Massachusetts Institute of Technology – Womxn Programs,https://equalprotect.org/case/equal-protection-project-v-massachusetts-institute-of-technology-womxn-programs/,"December 29, 2025"
Seven Illinois Public Universities,https://equalprotect.org/case/equal-protection-project-v-seven-illinois-public-universities/,12/22/2025
Harvard University – Union Scholars Program,https://equalprotect.org/case/equal-protection-project-v-harvard-university-union-scholars-program/,12/7/2025
138 California Colleges and Universities,https://equalprotect.org/case/equal-protection-project-v-138-california-colleges/,12/1/2025
Lehigh University,https://equalprotect.org/case/equal-protection-project-v-lehigh-university/,"November 20, 2025"
Radford University,https://equalprotect.org/case/equal-protection-project-v-radford-university/,"November 17, 2025"
"University of California, Los Angeles",https://equalprotect.org/case/equal-protection-project-v-university-of-california-los-angeles/,"November 7, 2025"
"University of California, Irvine",https://equalprotect.org/case/equal-protection-project-v-university-of-california-irvine/,"October 30, 2025"
University of Central Arkansas,https://equalprotect.org/case/equal-protection-project-v-university-of-central-arkansas/,"October 28, 2025"
HHS,https://equalprotect.org/case/equal-protection-project-v-hhs/,"October 16, 2025"
Fordham University – Girl Boss Programs,https://equalprotect.org/case/equal-protection-project-v-fordham-university-girl-boss-programs/,"September 26, 2025"
Craven Community College,https://equalprotect.org/case/equal-protection-project-v-craven-community-college/,"September 18, 2025"
University of Toledo,https://equalprotect.org/case/equal-protection-project-v-university-of-toledo/,"September 16, 2025"
The Claremont Colleges,https://equalprotect.org/case/equal-protection-project-v-the-claremont-colleges/,"August 28, 2025"
Kansas State University – Women In Business Program,https://equalprotect.org/case/equal-protection-project-v-kansas-state-university-women-in-business-program/,"September 3, 2025"
University of Richmond,https://equalprotect.org/case/equal-protection-project-v-university-of-richmond/,"August 22, 2025"
Bucknell University,https://equalprotect.org/case/equal-protection-project-v-bucknell-university/,"August 12, 2025"
Rutgers University,https://equalprotect.org/case/equal-protection-project-v-rutgers-university/,"August 1, 2025"
University of Miami (DACA/Undocumented Scholarship),https://equalprotect.org/case/equal-protection-project-v-university-of-miami-daca-undocumented-scholarship/,"July 21, 2025"
University of Michigan (DACA/Undocumented Scholarship),https://equalprotect.org/case/equal-protection-project-v-university-of-michigan-daca-undocumented-scholarship/,"July 21, 2025"
Florida State University,https://equalprotect.org/case/equal-protection-project-v-florida-state-university/,"July 18, 2025"
Western Michigan University,https://equalprotect.org/case/equal-protection-project-v-western-michigan-university/,"July 9, 2025"
Yale Medical School & the American Academy of Addiction Psychiatry,https://equalprotect.org/case/equal-protection-project-v-yale-medical-school-the-american-academy-of-addiction-psychiatry/,"June 24, 2025"
Campbell University,https://equalprotect.org/case/equal-protection-project-v-campbell-university/,"June 17, 2025"
University of Louisville,https://equalprotect.org/case/equal-protection-project-v-university-of-louisville/,"June 11, 2025"
Seattle University,https://equalprotect.org/case/equal-protection-project-v-seattle-university/,"June 4, 2025"
University of Connecticut,https://equalprotect.org/case/equal-protection-project-v-university-of-connecticut/,"May 28, 2025"
Bowdoin College,https://equalprotect.org/case/equal-protection-project-v-bowdoin-college/,"May 21, 2025"
University of Nebraska-Omaha,https://equalprotect.org/case/equal-protection-project-v-university-of-nebraska-omaha/,"May 14, 2025"
Middle Tennessee State University,https://equalprotect.org/case/equal-protection-project-v-middle-tennessee-state-university/,"May 8, 2025"
Loyola Marymount University,https://equalprotect.org/case/equal-protection-project-v-loyola-marymount-university/,"May 6, 2025"
Bowling Green State University,https://equalprotect.org/case/equal-protection-project-v-bowling-green-state-university/,"April 29, 2025"
University of Alabama,https://equalprotect.org/case/equal-protection-project-v-university-of-alabama/,"April 25, 2025"
Drake University,https://equalprotect.org/case/equal-protection-project-v-drake-university/,"April 22, 2025"
University of South Carolina,https://equalprotect.org/case/equal-protection-project-v-university-of-south-carolina/,"April 17, 2025"
Westfield State University,https://equalprotect.org/case/equal-protection-project-v-westfield-state-university/,"April 15, 2025"
DePaul University,https://equalprotect.org/case/equal-protection-project-v-depaul-university/,"April 8, 2025"
Pennsylvania College of Technology,https://equalprotect.org/case/equal-protection-project-v-pennsylvania-college-of-technology/,"April 1, 2025"
Indiana University South Bend,https://equalprotect.org/case/equal-protection-project-v-indiana-university-south-bend/,"March 26, 2025"
The North Star Collective Institutional Member Colleges,https://equalprotect.org/case/equal-protection-project-v-the-north-star-collective-institutional-member-colleges/,"March 19, 2025"
Calvin University,https://equalprotect.org/case/equal-protection-project-v-calvin-university/,"March 12, 2025"
University of Oregon,https://equalprotect.org/case/equal-protection-project-v-university-of-oregon/,"March 4, 2025"
University of New Mexico,https://equalprotect.org/case/equal-protection-project-v-university-of-new-mexico/,"February 26, 2025"
University of San Diego,https://equalprotect.org/case/equal-protection-project-v-university-of-san-diego/,"February 19, 2025"
Alfred University,https://equalprotect.org/case/equal-protection-project-v-alfred-university/,"February 12, 2025"
Dominican University,https://equalprotect.org/case/equal-protection-project-v-dominican-university/,"February 4, 2025"
Keystone Louis Stokes Alliance,https://equalprotect.org/case/equal-protection-project-v-keystone-louis-stokes-alliance/,"January 28, 2025"
Grand Valley State University,https://equalprotect.org/case/equal-protection-project-v-grand-valley-state-university/,"January 13, 2025"
University of Northern Iowa,https://equalprotect.org/case/equal-protection-project-v-university-of-northern-iowa/,"January 8, 2025"
